GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013
07319;Worms, kreisfreie Stadt;80014;80535;80622;80492;80361;80361;80625;81111;81100;81250;81545;82212;82290;82040;81784;81736;79526;79727;80296
07320;Zweibrücken, kreisfreie Stadt;36132;35882;35885;35752;35646;35719;35799;35846;35521;35499;35219;34842;34719;34525;34109;33944;34161;34064;34084
07331;Alzey-Worms, Landkreis;116712;118484;120218;121428;123113;124183;125303;126103;126772;126814;126328;126058;125697;125244;124758;124760;125109;125173;125213
07332;Bad Dürkheim, Landkreis;130558;131602;132432;133027;133517;133815;134303;134726;134818;135061;135116;134628;134341;133576;133052;132757;130920;130927;131041
07333;Donnersbergkreis;76302;76777;77279;77815;78258;78401;78740;78942;79215;79317;78825;78320;77877;77350;76571;75878;75822;75508;75192
07334;Germersheim, Landkreis;118836;120032;121539;122139;123003;123362;124380;124669;124852;125348;125268;125425;125822;125603;124982;124838;124294;124889;125434
07335;Kaiserslautern, Landkreis;108746;109855;109917;110017;110142;110103;110207;110145;110029;109637;109202;108364;107875;107192;106149;105428;104910;104443;104117
07336;Kusel, Landkreis;79402;79578;79611;79489;79184;78685;78530;78111;77667;77184;76541;75809;74876;73987;73306;72602;72458;71766;71098
07337;Südliche Weinstraße, Landkreis;106835;107637;108179;108330;109028;109375;109694;110276;110524;110938;110639;110211;109957;109625;109133;109002;108300;108752;109026
07338;Rhein-Pfalz-Kreis;143416;144571;145613;145739;146479;146986;147396;148060;148270;148718;148902;149187;149202;149084;148733;148475;147341;148079;149068
07339;Mainz-Bingen, Landkreis;187361;189358;190620;191750;193066;194156;196072;197739;198824;200112;200486;200938;201451;201410;201583;202310;201264;202222;203338
07340;Südwestpfalz, Landkreis;105187;105730;105843;105842;105728;105378;105271;105168;104730;104018;103309;102512;101596;100508;99605;98887;98008;97180;96599
08111;Stuttgart, kreisfreie Stadt;585604;585540;585274;581961;582443;583874;587152;588477;589161;590657;592569;593923;597176;600068;601646;606588;591015;597939;604297
08115;Böblingen, Landkreis;351027;354580;356164;359205;362048;364987;367830;370337;371678;372113;372155;372228;372755;372827;371616;371396;364458;367208;370392
08116;Esslingen, Landkreis;490169;492851;493131;494686;497826;500666;505340;509495;511564;513105;514245;514108;514503;514646;514109;514830;504961;508577;512279
08117;Göppingen, Landkreis;255203;255669;254929;255207;256136;256792;257651;258488;258707;258492;257783;256967;255807;254833;253522;252548;247194;247835;248813
08118;Ludwigsburg, Landkreis;485831;487784;489007;491690;495443;497764;503229;507043;509681;511830;513317;513998;515146;515898;516874;517985;512086;516748;521633
08119;Rems-Murr-Kreis;399116;401635;403108;404378;407213;409296;412959;415764;416635;417463;417697;417609;417131;416255;415696;415448;407150;408827;411025
08121;Heilbronn, kreisfreie Stadt;121509;121556;120987;120012;119526;119305;120163;120683;120705;121320;121613;121384;121627;122098;122415;122879;116716;117531;118122
08125;Heilbronn, Landkreis;303513;307315;310619;313874;317578;320955;324043;326229;327540;328866;329503;329979;330302;329743;329054;328364;323168;324543;326035
08126;Hohenlohekreis;104347;105257;105493;106130;106930;107754;108920;109519;109755;109756;109718;109717;109900;109499;109028;108913;107200;107498;107866
08127;Schwäbisch Hall, Landkreis;180648;182460;183311;183960;184819;185728;186967;188229;188563;189041;189580;189346;189288;189158;188694;188420;186427;186928;187682
08128;Main-Tauber-Kreis;136919;137299;137063;137008;137135;137057;137508;137284;137474;137736;137259;136296;135387;134939;134211;133351;130431;129842;129857
08135;Heidenheim, Landkreis;137315;137758;137587;137272;136890;136976;137055;136957;136337;135737;135174;134164;133449;132773;131854;131116;127691;127608;127947
08136;Ostalbkreis;311110;312257;311995;312788;313318;314198;315345;316495;316812;317056;316760;315661;314624;313576;312129;310733;306425;306484;306933
08211;Baden-Baden, kreisfreie Stadt;52745;52995;52672;52546;52627;52729;53084;53643;53938;54301;54581;54855;54853;54777;54494;54445;52424;52585;53012
08212;Karlsruhe, kreisfreie Stadt;275690;277191;276571;276536;277204;278558;279578;281334;282595;284163;285263;286327;288917;290736;291959;294761;291995;296033;299103
08215;Karlsruhe, Landkreis;405795;408641;410448;413257;416429;419555;422952;425768;427149;428312;429603;430351;431519;431381;431606;432271;424510;427106;429186
08216;Rastatt, Landkreis;218982;220217;221142;222184;223529;223328;224309;225896;226669;227549;228408;228006;227929;227111;226912;226789;222201;222472;223311
08221;Heidelberg, kreisfreie Stadt;138781;138869;139941;139285;139672;140259;141509;142575;142959;143123;142993;144634;145311;145642;146466;147312;148415;150335;152113
08222;Mannheim, kreisfreie Stadt;311292;312216;310475;308903;307730;306729;308385;308759;308353;307499;307900;307914;309795;311342;311969;313174;291458;294627;296690
08225;Neckar-Odenwald-Kreis;146782;147761;148360;148592;148938;149424;150091;150951;150920;151131;150628;150022;149572;148763;147782;147006;142435;141847;141584
08226;Rhein-Neckar-Kreis;512445;515738;517518;519587;521954;524028;527796;530608;531649;532788;533993;534220;534989;535284;536281;537625;525204;527287;531013
08231;Pforzheim, kreisfreie Stadt;118763;118703;118079;117606;117227;117156;118002;118785;119046;118847;119021;119156;119423;119839;119788;119781;115211;116425;117754
08235;Calw, Landkreis;157177;157329;157273;157324;158294;158959;160115;161249;161524;161530;161069;160341;159644;158702;158055;157271;150990;150709;151461
08236;Enzkreis;186812;187845;188601;190053;191590;192852;193873;194839;195379;196083;196417;196159;195457;195315;194554;193913;191461;192092;192811
08237;Freudenstadt, Landkreis;119166;119216;119528;120254;121063;120848;121682;122275;122369;122407;122579;122275;121865;121272;120637;119878;115220;115055;114793
08311;Freiburg im Breisgau, kreisfreie Stadt;199273;200393;200519;200980;202455;205102;208294;210234;212495;213998;215966;217547;219430;219665;221924;224191;214234;218043;220286
08315;Breisgau-Hochschwarzwald, Landkreis;230839;233460;235350;237217;238770;240545;243043;245342;247002;248400;249535;250013;250183;250132;250418;251266;246437;247711;250137
08316;Emmendingen, Landkreis;146418;147440;148304;149043;150406;151414;152953;154506;155160;156069;156728;157265;157629;157667;157791;158342;156723;157399;158177
08317;Ortenaukreis;399133;401260;402190;403671;405607;408126;411491;413008;414292;415405;416410;416973;417754;417613;417267;417513;410408;411700;412678
08325;Rottweil, Landkreis;138944;139688;139945;140058;140628;140873;141761;142302;142322;142357;142148;141765;141551;141073;140307;139316;136049;135553;135319
08326;Schwarzwald-Baar-Kreis;208828;209031;209106;209171;209605;210347;211321;211922;211807;211712;211320;210617;209709;208691;207259;206535;203978;204585;205090
08327;Tuttlingen, Landkreis;129491;130451;130793;131505;132274;132916;133866;134407;134614;135035;135297;135291;135306;135141;134712;134189;132192;132476;133198
08335;Konstanz, Landkreis;258668;260423;261936;263181;264540;266183;268859;271373;272966;274096;274692;274752;275120;276240;277555;278983;268263;270568;273407
08336;Lörrach, Landkreis;212122;213459;214175;215044;216111;217175;219149;220523;221098;220689;221357;221787;222528;222596;222401;222650;219481;220606;221943
08337;Waldshut, Landkreis;163326;164152;164297;164616;164968;164944;166114;166864;167057;167266;167274;167168;167200;166863;166384;166140;163141;163699;164265
08415;Reutlingen, Landkreis;272057;273620;274682;275202;276671;277995;279177;280613;281690;281779;282049;281891;281580;281080;280927;280931;273646;274691;276019
08416;Tübingen, Landkreis;203968;204960;205120;205666;207030;208535;211058;212993;214365;215835;216477;217172;217482;218692;220782;221304;212800;214894;216535
08417;Zollernalbkreis;192862;192866;192537;192690;192920;192891;193196;193696;193387;192961;192722;192138;191531;190294;189337;188393;185129;184658;184615
08421;Ulm, kreisfreie Stadt;115721;116021;115628;115701;116103;117233;118347;119155;119807;120107;120625;120925;121434;121648;122087;122801;117541;117977;119218
08425;Alb-Donau-Kreis;180309;181648;182362;183304;184803;185929;187000;188146;189101;189717;190233;190189;190212;190403;189884;189670;186444;187123;187892
08426;Biberach, Landkreis;175622;177603;178896;180271;181409;182979;184548;185980;187138;187885;188532;188810;189089;189296;189403;189312;187508;187747;188696
08435;Bodenseekreis;192947;194574;195445;196377;198024;199181;200948;202449;203523;204392;205446;205832;206759;207766;207710;208367;204483;205843;207450
08436;Ravensburg, Landkreis;261446;263551;264260;265765;267147;268770;270572;272273;273681;275079;275677;275900;276470;276474;276363;276965;270129;272425;273540
08437;Sigmaringen, Landkreis;130652;131223;131789;132280;132899;133500;133671;133852;133889;133732;133385;133078;132419;131695;131059;130215;127409;127272;127101
09161;Ingolstadt, kreisfreie Stadt;111979;112929;113494;113677;114826;115722;117311;118416;119528;120157;121314;122167;123055;123925;124387;125088;126076;127886;129136
09162;München, kreisfreie Stadt;1236370;1225809;1205923;1188897;1194560;1210223;1227958;1234692;1247873;1249176;1259677;1294608;1311573;1326807;1330440;1353186;1364920;1388308;1407836
09163;Rosenheim, kreisfreie Stadt;58920;58908;58786;58432;58721;58908;59310;59820;59988;60108;60226;60394;60674;60711;60877;61299;59543;59935;60464
09171;Altötting, Landkreis;105914;106743;107103;107425;107945;108268;109023;109590;109611;109367;109227;108789;108773;108182;107903;107711;106342;106515;106965
09172;Berchtesgadener Land, Landkreis;98946;99051;98832;98773;99281;99848;100626;101304;101738;102177;102587;102407;102383;102162;102034;102389;101263;101875;102346
09173;Bad Tölz-Wolfratshausen, Landkreis;110995;111642;112683;113453;114765;116017;117416;118152;118731;119678;120633;120308;120834;120869;121247;121801;119733;120664;122118
09174;Dachau, Landkreis;122144;123720;124886;126217;127972;129547;131345;132267;132990;133480;134382;134965;136272;136801;137680;138547;139921;142021;144407
09175;Ebersberg, Landkreis;110169;111508;112949;114699;116404;118764;120416;121612;122136;122913;123895;125052;126400;127085;127907;129199;128870;131011;133007
09176;Eichstätt, Landkreis;112844;114014;115261;116311;118430;119561;121031;122466;122972;123181;123233;123745;124419;124811;124699;125015;123961;125039;125858
09177;Erding, Landkreis;104509;106765;108830;110874;113460;115939;117949;119216;120568;122123;123094;123703;124876;125544;126370;127011;126676;128289;130238
09178;Freising, Landkreis;141022;143341;145597;147468;149712;152307;155396;157161;158140;159367;160655;162452;164692;165582;165483;166375;164232;166286;169010
09179;Fürstenfeldbruck, Landkreis;186235;187064;187703;188897;190995;193092;195869;197392;197995;198901;199783;200362;201148;201845;203129;204538;203029;205194;208272
09180;Garmisch-Partenkirchen, Landkreis;85762;85777;85841;86054;86217;86577;87408;87709;87441;87013;87351;86923;86872;86478;86305;86336;84234;84710;85443
09181;Landsberg am Lech, Landkreis;99557;100687;101684;103064;104233;105939;107609;109025;110303;111281;112080;112283;113311;113739;114134;114626;113539;114223;114926
09182;Miesbach, Landkreis;88640;89230;89442;89861;90669;91654;92720;93350;93688;93942;94970;95045;95267;95241;95484;95641;93971;94759;96049
09183;Mühldorf am Inn, Landkreis;105793;106585;107034;107246;107907;108480;109733;110570;110840;110940;110930;110623;110536;110248;110258;110282;106803;107363;109227
09184;München, Landkreis;279007;280844;282735;285546;289702;295247;299883;302750;303604;306182;309080;311493;315462;317543;319573;323015;320855;325744;329981
09185;Neuburg-Schrobenhausen, Landkreis;85997;86800;87353;87898;88580;89215;90224;90810;91084;91254;91181;90945;91067;91190;91258;91397;90973;91783;92700
09186;Pfaffenhofen an der Ilm, Landkreis;105453;106666;107750;108711;110423;111669;113111;113881;114489;115382;115809;116014;116407;116725;116991;117371;116973;118349;119987
09187;Rosenheim, Landkreis;224712;226880;228949;230560;233478;236480;240106;242729;243714;245132;247057;246828;248047;248268;248819;249772;245264;247133;249810
09188;Starnberg, Landkreis;119523;120160;120696;121723;123045;124956;126588;127478;127723;128283;129091;128789;129515;129861;130010;130283;128111;129530;130811
09189;Traunstein, Landkreis;162876;164248;165043;165790;166672;167646;168827;169600;170264;170449;170906;170440;170546;170594;170614;170521;168827;169464;170364
09190;Weilheim-Schongau, Landkreis;120756;122205;123363;124467;125646;127018;128543;129667;130253;130632;131034;130777;131317;130926;130863;130922;129060;129568;130387
09261;Landshut, kreisfreie Stadt;59219;59100;58600;58420;58515;58746;59513;60075;60282;60545;61368;61923;62629;62606;62735;63258;64277;65322;66179
09262;Passau, kreisfreie Stadt;50885;50798;50468;50270;50291;50536;50669;50810;50683;50537;50651;50644;50741;50717;50627;50594;48623;49038;49454
09263;Straubing, kreisfreie Stadt;44262;44482;44354;44044;43906;44014;44316;44364;44473;44683;44633;44504;44625;44496;44493;44450;44642;45099;45502
09271;Deggendorf, Landkreis;112538;113330;113893;114503;115288;115532;116558;116943;116967;117284;117492;117517;117594;117273;116851;117005;114690;114733;115374
09272;Freyung-Grafenau, Landkreis;81861;81788;82080;82239;82445;82434;82553;82471;82363;81975;81582;80771;80427;80044;79685;79293;78130;77817;77626
09273;Kelheim, Landkreis;104063;105887;106851;107804;108721;109510;110918;112051;112846;112939;113237;112927;113088;113120;113071;113147;113191;113996;115232
09274;Landshut, Landkreis;133531;135254;137326;138524;140582;142442;144504;145892;146857;147736;148101;147990;148286;148513;148350;148783;147758;148862;150316
09275;Passau, Landkreis;182041;183182;183973;184577;185627;186509;187355;188090;188533;189027;189142;188474;188462;187965;187594;187347;184531;184905;185671
09276;Regen, Landkreis;82194;82376;82573;82516;82526;82512;82721;82555;82162;81796;81416;80748;80195;79736;79327;78953;76525;76329;76257
09277;Rottal-Inn, Landkreis;115281;116100;116496;116957;117612;118167;119107;119416;119729;119727;119598;118944;118800;118622;118157;117952;116849;117437;117654
09278;Straubing-Bogen, Landkreis;90923;91720;92863;93640;94520;95242;96035;96902;97485;97848;97797;97734;97810;97702;97631;97591;96140;96667;97323
09279;Dingolfing-Landau, Landkreis;86589;87943;88833;89478;90137;90562;91218;91907;92092;92081;91906;91644;91481;91116;90673;91011;90567;91267;92565
09361;Amberg, kreisfreie Stadt;43611;43184;43168;43100;43367;43794;44217;44443;44596;44593;44618;44394;44216;44059;43715;43755;41790;41578;41592
09362;Regensburg, kreisfreie Stadt;125836;125318;125085;124852;125236;125676;127198;128029;128604;128917;129859;131342;132495;133525;134218;135520;136352;138296;140276
09363;Weiden in der Oberpfalz, kreisfreie Stadt;43197;43308;43277;43132;42997;43030;43071;42821;42684;42775;42672;42496;42445;42219;42058;41961;41734;41684;41726
09371;Amberg-Sulzbach, Landkreis;105596;106469;107067;107755;108368;108899;109083;109044;108886;108784;108159;107683;107069;106224;105727;105180;103597;103352;103074
09372;Cham, Landkreis;129469;129830;130325;130684;130951;131035;131416;131622;131489;131306;130871;130111;129605;129092;128498;128322;125504;125620;125553
09373;Neumarkt in der Oberpfalz, Landkreis;120519;121911;123068;124020;125329;126369;127312;128027;128625;128725;128613;128529;128488;128130;128049;127769;126746;127145;127826
09374;Neustadt an der Waldnaab, Landkreis;99620;99853;100249;100682;100738;101011;101043;101444;100933;100480;100081;99496;99007;98426;97791;97211;96094;95849;95447
09375;Regensburg, Landkreis;166215;168731;170299;172126;174119;176067;178095;179389;180354;181406;182193;182388;182721;182812;183045;183796;183161;184344;185980
09376;Schwandorf, Landkreis;139887;140783;141620;142191;142812;143343;144370;144751;144780;144904;144748;144411;144089;143340;142979;142804;142630;142947;143060
09377;Tirschenreuth, Landkreis;80524;80627;80544;80579;80421;79993;79804;79359;78875;78399;77729;77089;76549;75953;75337;74802;74483;73923;73457
09461;Bamberg, kreisfreie Stadt;69652;69708;69430;69023;69004;69036;69396;69726;69899;70026;70081;69574;69884;69989;69827;70004;70712;70863;71167
09462;Bayreuth, kreisfreie Stadt;73016;73676;73661;73708;73967;74153;74519;74558;74818;74548;73997;73503;73097;72935;72576;72683;71214;71482;71572
09463;Coburg, kreisfreie Stadt;44153;43874;43707;43376;43272;42756;42798;42629;42257;42082;41950;41638;41283;41316;41177;41076;40991;41022;40994
09464;Hof, kreisfreie Stadt;52590;52320;51781;51442;51133;50741;50654;50150;49685;49163;48723;48191;47744;47275;46779;46286;44511;44461;44522
09471;Bamberg, Landkreis;136928;138239;139365;140543;141687;142372;143107;143877;144268;144831;144825;144993;144949;144524;144442;144211;143746;143758;144425
09472;Bayreuth, Landkreis;107499;108043;108242;108724;108895;109124;109249;109302;109404;109219;108724;108256;107649;106952;106488;106102;105227;104901;104637
09473;Coburg, Landkreis;91098;91687;91947;92243;92304;92243;92199;92205;92053;91785;91325;90786;90244;89503;88943;88193;87404;87006;86719
09474;Forchheim, Landkreis;109725;110314;110906;111473;111848;112500;112838;113331;113258;113447;113543;113397;113389;113289;113236;112985;112986;113331;113424
09475;Hof, Landkreis;110625;110563;110340;109958;109661;109026;108744;108198;107505;106632;105715;104613;103686;102475;101252;100234;98787;97873;97096
09476;Kronach, Landkreis;76961;76658;76509;76227;75905;75591;75458;75038;74582;74275;73678;72909;72289;71609;70941;70106;69599;69095;68484
09477;Kulmbach, Landkreis;78451;78732;78683;78742;78815;78825;78674;78266;77940;77556;77141;76641;76153;75593;74967;74491;73710;73211;72898
09478;Lichtenfels, Landkreis;70512;70870;70725;70792;70910;70840;70874;70984;70640;70350;70057;69519;69045;68617;68286;68087;67245;67109;66644
09479;Wunsiedel im Fichtelgebirge, Landkreis;89267;88928;88378;87539;86754;86044;85278;84391;83365;82627;81631;80505;79433;78439;77486;76848;75441;74599;73783
09561;Ansbach, kreisfreie Stadt;39896;39941;39757;39877;40163;40165;40412;40537;40708;40512;40624;40412;40330;40454;40420;40253;39600;39684;39839
09562;Erlangen, kreisfreie Stadt;101406;100842;100330;100775;100750;100778;101912;102198;102449;102578;103197;103753;104650;104980;105554;105629;104312;105412;105624
09563;Fürth, kreisfreie Stadt;108418;108260;109521;109123;109771;110477;111257;111784;111892;112506;113422;113627;114130;114071;114044;114628;116640;118358;119808
09564;Nürnberg, kreisfreie Stadt;492425;492864;489758;487145;486628;488400;491307;493397;493553;495302;499237;500855;503110;503638;503673;505664;490085;495121;498876
09565;Schwabach, kreisfreie Stadt;37639;37985;37944;37700;37947;38213;38518;38633;38586;38630;38791;38862;38753;38771;38751;38879;38610;39137;39546
09571;Ansbach, Landkreis;178265;179695;180763;181224;182307;183207;183668;183967;184333;184576;183755;183052;182293;181417;180719;179925;178262;178289;178914
09572;Erlangen-Höchstadt, Landkreis;124192;125428;126417;127324;128177;128939;129751;130455;130660;130652;130489;130788;130873;131097;131059;131448;130747;131227;132012
09573;Fürth, Landkreis;110176;111694;113075;113683;113369;112896;113530;113840;114571;114297;114024;114203;114483;114496;114475;114810;113259;113959;114513
09574;Nürnberger Land, Landkreis;166156;166545;166767;166812;167483;168024;168693;168811;169146;169075;168389;168111;167444;167152;166491;166260;164079;164564;165000
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;95063;95998;97060;97602;98201;98671;99156;99618;99768;100033;99979;99490;99106;98509;98044;97558;97518;97409;97482
09576;Roth, Landkreis;119572;120554;121436;122455;123496;124187;124963;125280;125722;125757;125708;125306;125240;124811;124329;124186;123120;123168;123431
09577;Weißenburg-Gunzenhausen, Landkreis;94046;94476;94687;94815;94990;95109;95176;95349;95227;95054;94660;94163;93711;93009;92586;92326;92182;92187;92331
09661;Aschaffenburg, kreisfreie Stadt;66360;66152;66819;66997;67028;67592;68361;68682;68607;68703;68642;68664;68646;68747;68722;68678;67470;67681;67844
09662;Schweinfurt, kreisfreie Stadt;55722;55747;55447;55091;54511;54325;54568;54670;54601;54467;54273;53970;53798;53588;53533;53415;52118;52098;51851
09663;Würzburg, kreisfreie Stadt;127295;126970;126392;125588;127350;127966;129915;131582;132687;133539;133906;134913;135212;133501;133195;133799;124449;124577;124698
09671;Aschaffenburg, Landkreis;170565;171758;172481;172949;173730;173915;174577;174863;175214;175406;174974;174543;174168;173707;172990;172667;172351;172575;172791
09672;Bad Kissingen, Landkreis;109213;109662;109696;109566;109413;109328;109498;109382;108926;108607;107988;107267;106628;105770;104932;104301;103653;103124;102865
09673;Rhön-Grabfeld, Landkreis;86269;86449;86762;86989;87076;86609;86717;86811;86824;86731;86094;85313;84676;83895;83442;82916;80469;80224;79965
09674;Haßberge, Landkreis;87003;87399;87717;88059;88371;88509;88412;88301;88256;87878;87607;87063;86477;85914;85379;85010;84440;84226;84090
09675;Kitzingen, Landkreis;87386;87849;88372;88482;88730;88986;89104;89335;89498;89525;89501;89378;89293;88976;88692;88397;87731;87899;88097
09676;Miltenberg, Landkreis;128261;129111;129883;130164;130635;131261;131369;131568;131548;131543;131376;130692;130303;129648;129047;128341;128122;127944;127909
09677;Main-Spessart, Landkreis;131445;131749;131856;131924;132014;132012;132206;132393;132090;131770;131218;130678;130148;129439;128637;127761;127154;126496;126295
09678;Schweinfurt, Landkreis;113858;114561;115093;115654;116290;116569;116874;116868;116653;116380;115924;115173;114657;114039;113425;113003;112991;112857;113007
09679;Würzburg, Landkreis;154275;155725;156800;157936;158655;158919;159311;159845;159836;160080;159978;160222;160761;160273;159963;159788;158128;158026;158580
09761;Augsburg, kreisfreie Stadt;259699;258457;256625;254610;254867;254982;257836;259231;259217;260407;262676;262512;262992;263313;263646;264708;269402;272699;276542
09762;Kaufbeuren, kreisfreie Stadt;42748;42612;42105;41800;41772;41905;42246;42665;42581;42430;42183;41945;42043;41966;41881;41843;41460;41570;41759
09763;Kempten (Allgäu), kreisfreie Stadt;61657;61606;61510;61362;61348;61389;61505;61609;61504;61576;61360;61480;61703;62135;62007;62060;64300;64625;65044
09764;Memmingen, kreisfreie Stadt;40591;40673;40858;40774;40993;40849;41101;41132;41133;41191;41107;41111;41021;41050;41085;41025;41242;41551;41772
09771;Aichach-Friedberg, Landkreis;117921;119112;119834;120580;121833;123263;124501;125534;126711;127238;127446;127531;127785;127717;127859;127955;126720;127250;128435
09772;Augsburg, Landkreis;226593;229356;231426;232997;235035;236422;238536;239979;240874;241494;241381;241033;240976;240294;239898;240068;237839;239004;240911
09773;Dillingen an der Donau, Landkreis;90821;91770;92278;92861;93479;93773;94435;95005;95417;95626;95512;95124;94759;94328;94009;93539;93212;93122;93129
09774;Günzburg, Landkreis;119548;120269;120620;120843;121284;121563;122114;122574;122942;122636;122450;121833;121691;121165;120619;120451;120134;120130;120696
09775;Neu-Ulm, Landkreis;157240;157575;157707;158124;158923;159670;161110;162214;163082;163504;163387;163495;164135;164771;165201;165461;164388;165270;166643
09776;Lindau (Bodensee), Landkreis;75796;76071;76337;76642;76815;77106;77850;78240;78643;78900;79467;79733;80139;80027;79858;79769;78455;78641;78939
09777;Ostallgäu, Landkreis;127068;127506;128380;129427;130650;131546;132389;133196;133782;134206;134766;134551;134462;134112;134070;133881;133607;134118;134771
09778;Unterallgäu, Landkreis;130166;130966;131503;131887;132773;133709;134920;135300;135804;135858;135708;135699;135898;135569;135286;135366;135597;136383;137484
09779;Donau-Ries, Landkreis;127632;128272;128452;128828;129085;129865;130335;130833;131222;131141;130969;130321;130035;129550;129181;128867;128072;128939;129422
09780;Oberallgäu, Landkreis;144637;145048;145284;145953;146719;147405;148315;148953;149474;149959;150507;150396;150690;150486;150153;149926;148691;149457;150478
10041;Regionalverband Saarbrücken, Landkreis;357948;357848;355865;353377;351816;350924;349948;349102;347310;344573;341940;339553;336826;335669;333469;332333;326996;326638;325978
10042;Merzig-Wadern, Landkreis;105824;106044;106138;106067;105856;105954;106222;106361;106324;106426;106282;105996;106001;105782;105241;104843;103639;103520;103135
10043;Neunkirchen, Landkreis;150289;150270;149719;148668;148069;147464;146678;146315;145547;144704;143645;142478;141426;139948;138586;137247;134957;134099;133222
10044;Saarlouis, Landkreis;215485;215506;215216;212587;212559;211671;211681;211796;211784;211318;210343;208962;207723;206215;204448;203308;197452;196611;195976
10045;Saarpfalz-Kreis;158477;158064;157673;157605;157625;157309;156732;156306;155602;154722;153997;152888;151859;150785;149680;149240;145099;144291;143851
10046;Sankt Wendel, Landkreis;96347;96452;96179;95919;95576;95381;95209;95108;94809;94674;94086;93290;92763;91925;91161;90596;89712;89128;88556
11000;Berlin, kreisfreie Stadt;3471418;3458763;3425759;3398822;3386667;3382169;3388434;3392425;3388477;3387828;3395189;3404037;3416255;3431675;3442675;3460725;3326002;3375222;3421829
12051;Brandenburg an der Havel, kreisfreie Stadt;85994;84493;82460;80530;78958;77516;76351;75276;75485;74875;74129;73475;72954;72516;72264;71778;71381;71149;71032
12052;Cottbus, kreisfreie Stadt;123214;120812;118463;114872;110894;108491;105954;103847;107549;106415;105309;103837;102811;101785;101671;102091;99974;99913;99595
12053;Frankfurt (Oder), kreisfreie Stadt;80807;79784;77891;75710;73832;72131;70308;68351;67014;65242;63748;62594;61969;61286;60625;60330;59063;58537;58018
12054;Potsdam, kreisfreie Stadt;136619;134773;131851;129798;128983;129324;130435;131414;144979;145707;147583;148813;150833;152966;154606;156906;157603;159456;161468
12060;Barnim, Landkreis;151783;154698;159689;163937;167914;170288;171490;172382;173951;175861;176693;177396;177589;177644;176904;176848;172572;173193;173754
12061;Dahme-Spreewald, Landkreis;144990;147871;150995;154894;157341;158994;159568;159923;160173;161179;161937;161756;161699;161482;161708;161805;160108;160314;160793
12062;Elbe-Elster, Landkreis;136889;136286;135624;134684;132873;131161;129066;127159;125526;124041;122031;119773;117522;115560;113586;111975;109087;107649;106157
12063;Havelland, Landkreis;131381;133823;137204;141105;144944;148130;150340;151475;153328;154044;155019;155408;155359;155141;154984;154891;152915;153294;153874
12064;Märkisch-Oderland, Landkreis;172577;175033;178958;182968;186573;188277;189634;190678;191729;192131;192122;191998;191640;191241;191067;190502;187085;186925;187668
12065;Oberhavel, Landkreis;170505;173666;178353;183997;189191;192123;194022;195399;197055;198550;200184;201289;201945;202231;202776;203124;201199;202162;203012
12066;Oberspreewald-Lausitz, Landkreis;156758;155024;152924;150414;148124;145110;141959;139062;136251;134025;132032;129581;127278;125216;123426;121679;116898;115212;113842
12067;Oder-Spree, Landkreis;190839;193006;195032;196655;196784;196453;195670;194169;193062;192001;190728;189185;188035;186542;185062;183859;177764;177047;176850
12068;Ostprignitz-Ruppin, Landkreis;116005;115637;115670;115193;114273;112930;111878;111009;110057;108893;108027;106830;105812;104786;103734;102868;99753;99125;98944
12069;Potsdam-Mittelmark, Landkreis;180324;184987;192300;200022;205788;210031;212230;214227;201335;202630;203477;204007;204510;204277;204594;205070;203391;204388;205520
12070;Prignitz, Landkreis;101421;100422;99024;98205;97076;95701;94015;92646;91214;89792;88340;87221;85705;84284;83086;82023;79574;78799;77993
12071;Spree-Neiße, Landkreis;153493;154856;155946;155773;155247;153827;151100;148939;141256;139464;136896;135017;132798;130626;128470;126400;121571;120178;118899
12072;Teltow-Fläming, Landkreis;148133;150241;153244;155895;158326;159735;160414;160708;161146;161400;161902;162383;162320;162073;161847;161386;159511;159686;160448
12073;Uckermark, Landkreis;160310;159029;157663;155723;154086;151740;148606;145715;143411;141454;139326;137209;134958;132837;131115;129738;123731;122484;121326
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);60772;59558;57740;56156;55255;54236;53533;52994;52869;52669;53281;53434;53845;54131;54362;54610;-;-;-
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);80483;79041;77312;75936;74527;73318;71723;70241;69157;68451;68188;67517;66735;65879;65137;65282;-;-;-
13003;Rostock, kreisfreie Stadt;227535;221029;212715;207431;203279;200506;198964;198259;198303;198993;199288;199868;200413;201096;201442;202735;201813;202887;203431
