GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013
03352;Cuxhaven, Landkreis;198654;199601;200636;202202;203833;204843;206192;206304;206545;206308;205276;204235;202933;202124;201188;200464;198115;197433;196607
03353;Harburg, Landkreis;215975;219441;222823;226407;229961;232799;235110;237204;238385;239973;241827;242748;243888;244640;245624;246868;239269;240548;242871
03354;Lüchow-Dannenberg, Landkreis;51657;51860;52129;52194;52079;52100;51820;51766;51624;51578;51352;50878;50465;49965;49699;49213;49082;48928;48670
03355;Lüneburg, Landkreis;155893;157847;160140;162308;164347;166661;168734;171563;173164;174566;175441;175906;176445;176512;177042;177279;174685;175640;176727
03356;Osterholz, Landkreis;105576;106011;106899;108084;109538;110582;111473;111992;112502;112793;112741;112498;112679;112486;112029;111876;110842;110816;110882
03357;Rotenburg (Wümme), Landkreis;152688;154643;156137;157906;160036;161692;163058;163565;164360;164932;164875;164958;165074;164603;164064;163860;162182;161780;161308
03358;Heidekreis;134811;136085;137381;138218;139173;140203;141192;142264;142740;142819;142678;142234;141692;140792;140053;139630;136072;135772;136251
03359;Stade, Landkreis;183728;185553;187338;189239;190729;191690;192973;193956;195098;195727;196475;197122;197091;196891;196952;197132;195606;195779;196516
03360;Uelzen, Landkreis;95893;96176;96541;96957;97231;97285;97635;97464;97324;97271;96940;96458;95983;94940;94428;94020;93284;92801;92356
03361;Verden, Landkreis;128108;129362;130483;131410;132285;132820;133289;133693;134027;134267;134084;133965;133767;133560;133328;133368;131936;132129;132459
03401;Delmenhorst, kreisfreie Stadt;78226;78238;77958;77368;76903;76644;76284;76083;75986;76094;75916;75320;75135;74751;74512;74361;73364;73588;74052
03402;Emden, kreisfreie Stadt;51559;51470;51546;51448;51173;50963;51185;51351;51445;51670;51693;51742;51714;51562;51292;51616;49848;49751;49790
03403;Oldenburg (Oldenburg), kreisfreie Stadt;151382;152846;153531;154325;154125;154832;155908;157437;158340;158394;158565;159060;159563;160279;161334;162173;157706;158658;159610
03404;Osnabrück, kreisfreie Stadt;168618;167326;166653;165283;164539;164101;164195;164561;165517;164489;163814;163020;162870;163286;163514;164119;154513;155625;156315
03405;Wilhelmshaven, kreisfreie Stadt;90667;89604;88950;87590;86453;85287;84994;84751;84586;84118;83552;82797;82192;81411;81137;81324;76926;76545;75728
03451;Ammerland, Landkreis;103651;104962;106688;108013;109458;110650;111994;113164;114524;115176;115891;116626;117041;117102;117517;118004;117951;118489;118865
03452;Aurich, Landkreis;180118;181548;182991;184564;186024;187403;188363;188979;189652;190110;190128;190252;190293;189381;188973;188947;186713;186673;187058
03453;Cloppenburg, Landkreis;141179;142680;144526;146031;147894;149647;150973;152299;153283;154804;155642;156241;157164;157268;157506;158194;159290;160033;160176
03454;Emsland, Landkreis;292993;295443;297496;298886;301079;303034;304698;306685;307734;309245;310088;311965;313533;313824;313098;313056;311634;312855;313689
03455;Friesland, Landkreis;97929;98638;99419;99854;100335;100889;101402;101653;101657;101760;101412;101192;100779;100307;99851;99598;97857;97327;97093
03456;Grafschaft Bentheim, Landkreis;125721;126676;127470;128123;128995;129759;131086;132254;132975;133903;134442;134840;135270;135508;135346;135047;133400;133652;133678
03457;Leer, Landkreis;154057;155721;157051;158677;160313;161425;162765;163789;164540;164522;165056;165347;165088;164947;164837;164705;163991;164202;164792
03458;Oldenburg, Landkreis;112922;114187;115985;117300;119302;121017;122550;123704;124564;125175;125731;125949;126131;125943;126571;127282;125265;125413;125778
03459;Osnabrück, Landkreis;342808;344568;347875;350133;353038;353313;355871;356873;358041;359399;359449;359340;358852;358236;357056;356123;350418;350444;350302
03460;Vechta, Landkreis;118575;120311;121597;122983;124655;126434;128189;129533;130471;131660;132401;133104;134404;134506;134838;135374;132752;133462;134188
03461;Wesermarsch, Landkreis;94061;94401;94551;94297;94130;94084;94332;94333;94242;94075;93725;93094;92622;91968;91228;90772;89527;89126;88831
03462;Wittmund, Landkreis;55225;55624;56057;56648;57298;57334;57421;57587;57672;57800;57954;57829;57742;57492;57391;57280;56572;56362;56400
04011;Bremen, kreisfreie Stadt;549357;548826;546968;543279;540330;539403;540950;542987;544853;545932;546852;547934;547769;547360;547685;547340;544043;546451;548547
04012;Bremerhaven, kreisfreie Stadt;130400;128944;126915;124686;122735;120822;118701;119111;118276;117281;116615;116045;115313;114506;114031;113366;108139;108323;108844
05111;Düsseldorf, kreisfreie Stadt;571030;571475;570969;568440;568855;569364;570765;571886;572511;572663;574514;577505;581122;584217;586217;588735;589649;593682;598686
05112;Duisburg, kreisfreie Stadt;535250;532701;529062;523311;519793;514915;512030;508664;506496;504403;501564;499111;496665;494048;491931;489559;487470;486816;486855
05113;Essen, kreisfreie Stadt;614861;611827;608732;603194;599515;595243;591889;585481;589499;588084;585430;583198;582140;579759;576259;574635;565900;566862;569884
05114;Krefeld, kreisfreie Stadt;249606;247772;245606;243499;241769;239916;239559;239183;238565;238270;237701;237104;236516;236333;235414;235076;221864;222026;222058
05116;Mönchengladbach, kreisfreie Stadt;266702;266873;266505;264662;263697;263014;262963;263104;262391;261966;261444;260951;260018;258848;258251;257993;254834;255087;255430
05117;Mülheim an der Ruhr, kreisfreie Stadt;176530;176000;175507;174514;173895;172862;172332;172171;170745;170327;169917;169414;168925;168288;167471;167344;166804;166654;166640
05119;Oberhausen, kreisfreie Stadt;224397;223884;223399;222456;222349;222151;221619;220928;220033;219309;218898;218181;217108;215670;214024;212945;210256;210005;209097
05120;Remscheid, kreisfreie Stadt;122260;121592;120639;119650;120125;119287;118753;118339;117717;116827;115864;114925;113935;112679;111422;110563;110132;109352;108955
05122;Solingen, kreisfreie Stadt;165735;165087;164993;165235;165583;164973;165032;164740;164543;164205;163581;162948;162575;161779;160992;159927;155080;155316;155768
05124;Wuppertal, kreisfreie Stadt;381884;379820;376693;372218;368993;366434;364784;363522;362137;361077;359237;358330;356420;353308;351050;349721;342570;342885;343488
05154;Kleve, Landkreis;288071;290969;292988;295206;297608;299362;301861;304176;305599;306850;307703;308331;308928;308448;308090;307807;301171;301977;302698
05158;Mettmann, Landkreis;504698;504522;504795;505766;506649;507699;509023;508703;507164;506061;504972;503492;502045;499193;496445;495155;477919;477397;476633
05162;Rhein-Kreis Neuss;435656;439328;441017;442198;443071;443865;445683;446493;446308;446305;445255;444700;444515;443608;443112;443286;437732;439225;440602
05166;Viersen, Landkreis;288450;291137;293976;296984;299199;300842;302795;303984;303943;304344;304140;303506;303331;302689;301797;300417;295982;295448;294921
05170;Wesel, Landkreis;465454;467948;469980;471838;473367;474390;476240;477906;477481;477164;476428;475433;474045;472175;470364;468619;459740;458329;457033
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);247923;247792;245969;244429;243825;244386;245778;247740;256605;257821;258208;258770;259030;259269;-;-;-;-;-
05314;Bonn, kreisfreie Stadt;291431;302873;304841;304639;301048;302247;306016;308921;311052;311938;312818;314299;316416;317949;319841;324899;307530;309869;311287
05315;Köln, kreisfreie Stadt;965697;964346;964311;962580;962507;962884;967940;968639;965954;969709;983347;989766;995397;995420;998105;1007119;1013665;1024373;1034175
05316;Leverkusen, kreisfreie Stadt;162252;162977;162298;161282;160841;161047;160829;160268;161543;161601;161227;161336;161345;161322;160593;160772;159373;159926;160819
05334;Städteregion Aachen, Landkreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;566347;565714;541521;542833;545067
05354;Aachen, Landkreis (bis 20.10.2009);302430;303116;304065;304874;305579;306580;307936;309223;309619;310216;310267;310093;309929;309251;-;-;-;-;-
05358;Düren, Landkreis;258565;260081;261852;263718;266457;268564;271074;272473;272936;272908;272478;270917;270725;269607;268637;267712;258524;258651;258385
05362;Rhein-Erft-Kreis;442356;444878;447810;449646;452503;455487;458430;460894;461810;462873;462862;463147;464209;464061;464018;464130;452792;454792;456602
05366;Euskirchen, Landkreis;182177;183564;185072;186401;187885;189316;190581;191635;192575;193199;193304;193191;192973;192638;192088;190962;187801;187724;187437
05370;Heinsberg, Landkreis;238627;241420;243796;245957;248283;250400;252275;254589;255782;256956;257326;257282;256850;256004;255158;254936;248161;247827;248233
05374;Oberbergischer Kreis;280914;282074;283920;285248;286398;288170;289518;290055;290308;290614;289836;288405;286801;284890;282636;280840;272287;271332;270290
05378;Rheinisch-Bergischer Kreis;269541;270967;272668;274258;275712;275474;276525;278086;278770;279397;279092;278658;278345;277635;277214;276927;277816;277997;278440
05382;Rhein-Sieg-Kreis;546670;552217;559301;566381;572637;576993;583051;588896;593414;596565;597857;598805;599042;598225;598407;598736;579594;580588;582280
05512;Bottrop, kreisfreie Stadt;120642;121051;121565;121305;121097;120611;120780;120758;120324;119910;119356;118975;118597;117756;117241;116771;117074;116498;116055
05513;Gelsenkirchen, kreisfreie Stadt;291164;289023;286432;284085;281979;278695;276740;274926;272445;270107;268102;266772;264765;262063;259744;257981;257994;257607;257850
05515;Münster, kreisfreie Stadt;265061;265748;265138;264489;264670;265609;267197;268945;269579;270038;270868;272106;272951;273875;275543;279803;293393;296599;299708
05554;Borken, Landkreis;342688;346875;349903;353146;356706;359573;362834;364865;366679;367457;369112;369500;370196;370323;369666;369633;364093;363819;364271
05558;Coesfeld, Landkreis;202218;205763;208097;210357;212780;214893;216805;218573;219915;220984;221001;221494;221381;220662;220261;219784;215031;215087;215282
05562;Recklinghausen, Landkreis;662931;662712;662309;661065;660459;657592;656053;654276;651397;649310;646558;643411;639811;636180;632535;628817;617831;615778;613878
05566;Steinfurt, Landkreis;416252;421096;425862;429143;432552;434885;437545;440127;441985;443055;444231;444393;445019;444399;443643;443357;433820;434170;434481
05570;Warendorf, Landkreis;272534;274309;275809;276881;278536;280443;282286;283167;283421;283628;283395;282721;281641;280107;279003;278145;272985;272832;272623
05711;Bielefeld, kreisfreie Stadt;324066;324132;323223;321831;321125;321758;323373;324815;328452;328012;326925;325846;324912;323615;323084;323270;327199;328314;328864
05754;Gütersloh, Landkreis;329043;333162;337297;340039;342879;345379;347954;349688;350528;352399;353250;354057;354239;353944;353514;353766;350814;351624;352334
05758;Herford, Landkreis;250768;252378;253055;253202;253964;254754;255393;255819;255284;254938;254507;253751;252949;251567;250247;249020;249947;249147;248988
05762;Höxter, Landkreis;154401;155074;155228;155116;155668;155808;155518;155354;154829;154289;153550;152627;151277;149800;148470;147140;144891;143709;142788
05766;Lippe, Landkreis;360471;362079;363534;364505;364863;365006;364990;365049;363720;362527;360858;359192;357582;355178;353007;351158;347729;346496;345374
05770;Minden-Lübbecke, Landkreis;316139;318400;319831;321161;322011;322789;323055;323654;323290;322649;321965;320813;319401;317665;315784;314153;310932;309990;309356
05774;Paderborn, Landkreis;278020;281435;283739;285489;288110;290301;292961;294911;295700;297674;298703;299127;298838;298869;299106;299816;295614;296135;296688
05911;Bochum, kreisfreie Stadt;400395;398467;395837;393236;392830;391147;390087;388869;387283;388179;385626;383743;381542;378596;376319;374737;362585;362213;361734
05913;Dortmund, kreisfreie Stadt;598840;597024;594866;591733;590213;588994;589240;590831;589661;588680;588168;587624;586909;584412;581308;580444;571403;572087;575944
05914;Hagen, kreisfreie Stadt;212003;210950;209027;207201;205201;203151;202060;201109;200039;198780;196934;195671;193748;192177;190121;188529;187333;186243;185996
05915;Hamm, kreisfreie Stadt;183408;182213;181194;180719;181804;182427;183805;184578;184961;184926;184239;183672;183065;182459;181741;181783;176474;176440;176048
05916;Herne, kreisfreie Stadt;179897;178718;177863;176709;175661;174529;174018;173645;172870;171831;170992;169991;168454;166924;165632;164762;154887;154563;154417
05954;Ennepe-Ruhr-Kreis;352069;351482;351448;350683;351413;350781;349988;348410;346124;344824;342642;340557;338466;335914;333729;331575;325145;324223;322731
05958;Hochsauerlandkreis;283857;284392;284364;283746;283055;281830;281480;280849;279336;277715;277219;275522;273898;271891;269927;267601;265199;263720;261999
05962;Märkischer Kreis;458221;459548;460003;460200;459615;457465;457079;456163;453781;451421;448800;445043;441704;437785;434031;430965;422614;419976;416240
05966;Olpe, Landkreis;138115;138528;139268;140248;140921;141207;141705;142095;142113;142140;141776;141259;140973;140481;139666;138961;136144;135523;134947
05970;Siegen-Wittgenstein, Landkreis;299336;299162;298865;297850;297207;296256;295787;295405;294420;292869;291372;289826;288441;286299;284405;282681;276227;275594;274904
05974;Soest, Landkreis;298677;301449;302899;304522;306131;306377;307809;308943;308831;309013;308856;307790;307159;306131;305097;304167;296540;296029;294971
05978;Unna, Landkreis;422662;425305;427067;428271;430207;431740;430269;429832;427219;426345;423830;421464;419353;416679;414056;411806;394873;392940;391622
06411;Darmstadt, kreisfreie Stadt;138980;138442;137876;137511;137776;138242;138457;138959;139698;140078;140562;141257;142191;142310;143332;144402;145845;147925;149743
06412;Frankfurt am Main, kreisfreie Stadt;650055;647304;643469;643857;643821;646550;641076;643726;643432;646889;651899;652610;659021;664838;671927;679664;676533;687775;701350
06413;Offenbach am Main, kreisfreie Stadt;116533;116610;116214;115905;116627;117535;118429;119233;119208;119527;119430;117564;118245;118977;118770;120435;114855;116945;119203
06414;Wiesbaden, kreisfreie Stadt;267122;267669;267726;267187;268716;270109;271076;271553;271995;274076;274611;275562;275849;276742;277493;275976;270952;272636;273871
06431;Bergstraße, Landkreis;259709;259991;260951;261205;262613;263730;264695;265491;265852;266316;266312;264985;264380;263465;262796;262650;261158;261695;262322
06432;Darmstadt-Dieburg, Landkreis;279066;280978;282141;283230;285484;286780;288463;289717;290179;290915;290292;289635;289071;288701;288918;289199;283465;284413;285407
06433;Groß-Gerau, Landkreis;244964;247014;247412;247499;248190;249266;250478;252020;251633;252283;251905;252133;253013;253576;253599;254887;252770;254883;257301
06434;Hochtaunuskreis;220008;220823;222243;222983;223976;225638;226683;227167;226881;227708;227338;226552;226043;225737;226290;227425;226964;228098;229167
06435;Main-Kinzig-Kreis;401349;402399;402152;402616;404375;405942;408144;409487;409589;410203;409941;408826;408162;407456;407022;407234;401823;403134;404995
06436;Main-Taunus-Kreis;213435;214519;215401;216353;218170;220264;221730;222892;223082;224029;224057;224347;225426;226072;226647;227398;224823;226113;228021
06437;Odenwaldkreis;98305;99069;99313;99410;99373;99667;100113;100525;100654;100522;100174;99640;98954;98092;97502;97032;96785;96648;96201
06438;Offenbach, Landkreis;328782;330352;331335;331485;333336;335030;336555;337451;337305;338252;337481;336579;336671;336818;337163;338061;334019;336265;338300
06439;Rheingau-Taunus-Kreis;182396;183193;183197;183543;184328;184576;184897;185665;185487;185557;185237;184288;184152;183487;183303;183125;180506;180911;181190
06440;Wetteraukreis;283920;286174;288176;290305;292569;294260;296056;297863;298000;298670;298885;298928;299054;298496;298179;298015;293113;293940;295408
06531;Gießen, Landkreis;252365;253121;252961;252774;253210;253587;254331;255370;256088;256246;255896;255925;255776;255299;255765;256473;252587;253041;253820
06532;Lahn-Dill-Kreis;262952;263647;263232;262817;262951;262859;263043;262852;262227;261406;260512;259359;258063;256582;254878;253553;252899;252106;251327
06533;Limburg-Weilburg, Landkreis;170878;172343;172953;173889;175089;175317;175679;175850;175836;176158;175750;174541;173754;172738;171487;170714;170471;169904;169964
06534;Marburg-Biedenkopf, Landkreis;251106;252155;252675;252975;253583;253279;253500;253888;253821;253700;253384;252938;252187;251800;251150;251080;241574;241279;241656
06535;Vogelsbergkreis;118581;119101;119026;118496;118670;118496;118475;117949;117495;116718;115781;114790;113479;112264;110989;109451;107994;106947;106383
06611;Kassel, kreisfreie Stadt;201573;200927;199453;198071;196211;194766;194748;194146;194322;194464;194427;193518;193803;194168;194774;195530;191854;192874;194087
06631;Fulda, Landkreis;212072;214147;215457;216679;217080;217710;218326;219034;219571;220184;219813;219420;219055;218421;217759;217255;215945;216093;216314
06632;Hersfeld-Rotenburg, Landkreis;133159;133045;132618;131799;131131;130654;130010;129153;128517;127777;127156;126100;125211;123984;122812;122233;120776;120165;119651
06633;Kassel, Landkreis;242164;242940;244192;244516;245591;245997;245735;245837;245368;244845;243791;242117;240728;239236;237973;236986;234680;234206;233352
06634;Schwalm-Eder-Kreis;192506;193316;193802;193594;193367;193345;193404;192947;192115;191291;189935;188335;187058;185310;183714;182622;181327;180279;179429
06635;Waldeck-Frankenberg, Landkreis;170218;170936;171150;170733;170709;170568;170430;170401;169631;169259;168293;167121;166053;164652;163129;161871;158210;157293;156607
06636;Werra-Meißner-Kreis;117715;117069;116580;115705;115020;113962;113293;112442;111442;110692;109492;108289;107156;105732;104580;103750;101843;100913;100356
07111;Koblenz, kreisfreie Stadt;109219;109332;109404;108959;108003;107950;107730;107891;107608;107039;106501;105888;106087;106293;106445;106417;107954;109779;110643
07131;Ahrweiler, Landkreis;125377;126322;127566;128504;128947;129462;130141;130772;130900;130976;130467;129520;129096;128509;128063;127443;125951;125837;126102
07132;Altenkirchen (Westerwald), Landkreis;134993;136009;136539;137012;137456;137223;137659;137410;137285;136892;136425;135752;134912;133785;132873;131952;129962;129166;128373
07133;Bad Kreuznach, Landkreis;155597;156034;156703;156965;157087;157576;157843;158047;158389;158746;158319;157811;157471;156660;155842;155544;155404;155306;155297
07134;Birkenfeld, Landkreis;90338;90902;90746;90397;90143;90294;90201;89932;89471;88755;87783;87007;86469;85217;84201;83243;82323;81135;80673
07135;Cochem-Zell, Landkreis;64959;65066;65285;65387;65540;65664;65860;65998;66062;66067;65732;65282;64863;64489;63884;63409;63890;63475;63202
07137;Mayen-Koblenz, Landkreis;204452;206337;207519;208557;209706;210812;212344;213052;213249;213963;213667;213236;212944;212102;211079;210269;210246;210035;209785
07138;Neuwied, Landkreis;178479;180175;181997;183031;183929;184278;185004;185653;185739;186046;185259;184518;183618;182537;181492;180995;180497;179812;179454
07140;Rhein-Hunsrück-Kreis;103392;104073;104505;104754;105038;105380;105591;106018;106094;106076;105705;105050;104263;103609;102878;102145;101639;101002;100770
07141;Rhein-Lahn-Kreis;127456;127863;128178;128520;128953;129082;129608;129684;129486;129022;128095;127218;126258;125477;124474;123601;122609;121838;121375
07143;Westerwaldkreis;195669;197567;199365;200197;201435;201840;202714;203154;203636;203925;203541;202657;201938;200779;199480;198580;199691;198852;198704
07211;Trier, kreisfreie Stadt;99428;99750;99691;99650;99891;99410;100024;100234;100180;100163;99843;103518;103888;104640;104587;105260;106284;106544;107233
07231;Bernkastel-Wittlich, Landkreis;113201;113691;113813;113710;113752;113899;113998;114293;114160;114389;113960;113466;113043;112452;111543;111073;112308;110833;110643
07232;Eifelkreis Bitburg-Prüm;95921;96325;96394;96363;96244;96468;96308;96098;95850;95762;95982;95409;95219;94828;94394;94008;95751;95946;96158
